RequestNumber,Index Name,INDEX_NAME,Date,Open,High,Low,Close,Date_2
His63865831593827869200,,Nifty 50,28-May-21,15421.2,15469.65,15394.75,15435.65,28/05/2021
His63865831593827869200,,Nifty 50,31-May-21,15437.75,15606.35,15374,15582.8,31/05/2021
His63865831593827869200,,Nifty 50,1-Jun-21,15629.65,15660.75,15528.3,15574.85,1/6/2021
His63865831593827869200,,Nifty 50,2-Jun-21,15520.35,15597.45,15459.85,15576.2,2/6/2021
His63865831593827869200,,Nifty 50,3-Jun-21,15655.55,15705.1,15611,15690.35,3/6/2021
His63865831593827869200,,Nifty 50,4-Jun-21,15712.5,15733.6,15622.35,15670.25,4/6/2021
His63865831593827869200,,Nifty 50,7-Jun-21,15725.1,15773.45,15678.1,15751.65,7/6/2021
His63865831593827869200,,Nifty 50,8-Jun-21,15773.9,15778.8,15680,15740.1,8/6/2021
His63865831593827869200,,Nifty 50,9-Jun-21,15766.3,15800.45,15566.9,15635.35,9/6/2021
His63865831593827869200,,Nifty 50,10-Jun-21,15692.1,15751.25,15648.5,15737.75,10/6/2021
His63865831593827869200,,Nifty 50,11-Jun-21,15796.45,15835.55,15749.8,15799.35,11/6/2021
His63865831593827869200,,Nifty 50,14-Jun-21,15791.4,15823.05,15606.5,15811.85,14/06/2021
His63865831593827869200,,Nifty 50,15-Jun-21,15866.95,15901.6,15842.4,15869.25,15/06/2021
His63865831593827869200,,Nifty 50,16-Jun-21,15847.5,15880.85,15742.6,15767.55,16/06/2021
His63865831593827869200,,Nifty 50,17-Jun-21,15648.3,15769.35,15616.75,15691.4,17/06/2021
His63865831593827869200,,Nifty 50,18-Jun-21,15756.5,15761.5,15450.9,15683.35,18/06/2021
His63865831593827869200,,Nifty 50,21-Jun-21,15525.85,15765.15,15505.65,15746.5,21/06/2021
His63865831593827869200,,Nifty 50,22-Jun-21,15840.5,15895.75,15752.1,15772.75,22/06/2021
His63865831593827869200,,Nifty 50,23-Jun-21,15862.8,15862.95,15673.95,15686.95,23/06/2021
His63865831593827869200,,Nifty 50,24-Jun-21,15737.3,15821.4,15702.7,15790.45,24/06/2021
His63865831593827869200,,Nifty 50,25-Jun-21,15839.35,15870.8,15772.3,15860.35,25/06/2021
His63865831593827869200,,Nifty 50,28-Jun-21,15915.35,15915.65,15792.15,15814.7,28/06/2021
His63865831593827869200,,Nifty 50,29-Jun-21,15807.5,15835.9,15724.05,15748.45,29/06/2021
His63865831593827869200,,Nifty 50,30-Jun-21,15776.9,15839.1,15708.75,15721.5,30/06/2021
His63865831593827869200,,Nifty 50,1-Jul-21,15755.05,15755.55,15667.05,15680,1/7/2021
His63865831593827869200,,Nifty 50,2-Jul-21,15705.85,15738.35,15635.95,15722.2,2/7/2021
His63865831593827869200,,Nifty 50,5-Jul-21,15793.4,15845.95,15762.05,15834.35,5/7/2021
His63865831593827869200,,Nifty 50,6-Jul-21,15813.75,15914.2,15801,15818.25,6/7/2021
His63865831593827869200,,Nifty 50,7-Jul-21,15819.6,15893.55,15779.7,15879.65,7/7/2021
His63865831593827869200,,Nifty 50,8-Jul-21,15855.4,15885.75,15682.9,15727.9,8/7/2021
His63865831593827869200,,Nifty 50,9-Jul-21,15688.25,15730.85,15632.75,15689.8,9/7/2021
His63865831593827869200,,Nifty 50,12-Jul-21,15766.8,15789.2,15644.75,15692.6,12/7/2021
His63865831593827869200,,Nifty 50,13-Jul-21,15794,15820.8,15744.6,15812.35,13/07/2021
His63865831593827869200,,Nifty 50,14-Jul-21,15808.7,15877.35,15764.2,15853.95,14/07/2021
His63865831593827869200,,Nifty 50,15-Jul-21,15872.15,15952.35,15855,15924.2,15/07/2021
His63865831593827869200,,Nifty 50,16-Jul-21,15958.35,15962.25,15882.6,15923.4,16/07/2021
His63865831593827869200,,Nifty 50,19-Jul-21,15754.5,15836.9,15707.5,15752.4,19/07/2021
His63865831593827869200,,Nifty 50,20-Jul-21,15703.95,15728.45,15578.55,15632.1,20/07/2021
His63865831593827869200,,Nifty 50,22-Jul-21,15736.6,15834.8,15726.4,15824.05,22/07/2021
His63865831593827869200,,Nifty 50,23-Jul-21,15856.8,15899.8,15768.4,15856.05,23/07/2021
His63865831593827869200,,Nifty 50,26-Jul-21,15849.3,15893.35,15797,15824.45,26/07/2021
His63865831593827869200,,Nifty 50,27-Jul-21,15860.5,15881.55,15701,15746.45,27/07/2021
His63865831593827869200,,Nifty 50,28-Jul-21,15761.55,15767.5,15513.45,15709.4,28/07/2021
His63865831593827869200,,Nifty 50,29-Jul-21,15762.7,15817.35,15737.8,15778.45,29/07/2021
His63865831593827869200,,Nifty 50,30-Jul-21,15800.6,15862.8,15744.85,15763.05,30/07/2021
His63865831593827869200,,Nifty 50,2-Aug-21,15874.9,15892.9,15834.65,15885.15,2/8/2021
His63865831593827869200,,Nifty 50,3-Aug-21,15951.55,16146.9,15914.35,16130.75,3/8/2021
His63865831593827869200,,Nifty 50,4-Aug-21,16195.25,16290.2,16176.15,16258.8,4/8/2021
His63865831593827869200,,Nifty 50,5-Aug-21,16288.95,16349.45,16210.3,16294.6,5/8/2021
His63865831593827869200,,Nifty 50,6-Aug-21,16304.4,16336.75,16223.3,16238.2,6/8/2021
His63865831593827869200,,Nifty 50,9-Aug-21,16281.35,16320.75,16179.05,16258.25,9/8/2021
His63865831593827869200,,Nifty 50,10-Aug-21,16274.8,16359.25,16202.25,16280.1,10/8/2021
His63865831593827869200,,Nifty 50,11-Aug-21,16327.3,16338.75,16162.55,16282.25,11/8/2021
His63865831593827869200,,Nifty 50,12-Aug-21,16303.65,16375.5,16286.9,16364.4,12/8/2021
His63865831593827869200,,Nifty 50,13-Aug-21,16385.7,16543.6,16376.3,16529.1,13/08/2021
His63865831593827869200,,Nifty 50,16-Aug-21,16518.4,16589.4,16480.75,16563.05,16/08/2021
His63865831593827869200,,Nifty 50,17-Aug-21,16545.25,16628.55,16495.4,16614.6,17/08/2021
His63865831593827869200,,Nifty 50,18-Aug-21,16691.95,16701.85,16535.85,16568.85,18/08/2021
His63865831593827869200,,Nifty 50,20-Aug-21,16382.5,16509.55,16376.05,16450.5,20/08/2021
His63865831593827869200,,Nifty 50,23-Aug-21,16592.25,16592.5,16395.7,16496.45,23/08/2021
His63865831593827869200,,Nifty 50,24-Aug-21,16561.4,16647.1,16495.3,16624.6,24/08/2021
His63865831593827869200,,Nifty 50,25-Aug-21,16654,16712.45,16617.5,16634.65,25/08/2021
His63865831593827869200,,Nifty 50,26-Aug-21,16627.95,16683.7,16603.4,16636.9,26/08/2021
His63865831593827869200,,Nifty 50,27-Aug-21,16642.55,16722.05,16565.6,16705.2,27/08/2021
His63865831593827869200,,Nifty 50,30-Aug-21,16775.85,16951.5,16764.85,16931.05,30/08/2021
His63865831593827869200,,Nifty 50,31-Aug-21,16947.5,17153.5,16915.85,17132.2,31/08/2021
His63865831593827869200,,Nifty 50,1-Sep-21,17185.6,17225.75,17055.05,17076.25,1/9/2021
His63865831593827869200,,Nifty 50,2-Sep-21,17095.4,17245.5,17059.7,17234.15,2/9/2021
His63865831593827869200,,Nifty 50,3-Sep-21,17262.45,17340.1,17212.2,17323.6,3/9/2021
His63865831593827869200,,Nifty 50,6-Sep-21,17399.35,17429.55,17345.55,17377.8,6/9/2021
His63865831593827869200,,Nifty 50,7-Sep-21,17401.55,17436.5,17287,17362.1,7/9/2021
His63865831593827869200,,Nifty 50,8-Sep-21,17375.75,17383.4,17254.2,17353.5,8/9/2021
His63865831593827869200,,Nifty 50,9-Sep-21,17312.85,17379.65,17302.7,17369.25,9/9/2021
His63865831593827869200,,Nifty 50,13-Sep-21,17363.55,17378.35,17269.15,17355.3,13/09/2021
His63865831593827869200,,Nifty 50,14-Sep-21,17420.35,17438.55,17367.05,17380,14/09/2021
His63865831593827869200,,Nifty 50,15-Sep-21,17387.65,17532.7,17386.9,17519.45,15/09/2021
His63865831593827869200,,Nifty 50,16-Sep-21,17539.2,17644.6,17510.45,17629.5,16/09/2021
His63865831593827869200,,Nifty 50,17-Sep-21,17709.65,17792.95,17537.65,17585.15,17/09/2021
His63865831593827869200,,Nifty 50,20-Sep-21,17443.85,17622.75,17361.8,17396.9,20/09/2021
His63865831593827869200,,Nifty 50,21-Sep-21,17450.5,17578.35,17326.1,17562,21/09/2021
His63865831593827869200,,Nifty 50,22-Sep-21,17580.9,17610.45,17524,17546.65,22/09/2021
His63865831593827869200,,Nifty 50,23-Sep-21,17670.85,17843.9,17646.55,17822.95,23/09/2021
His63865831593827869200,,Nifty 50,24-Sep-21,17897.45,17947.65,17819.4,17853.2,24/09/2021
His63865831593827869200,,Nifty 50,27-Sep-21,17932.2,17943.5,17802.9,17855.1,27/09/2021
His63865831593827869200,,Nifty 50,28-Sep-21,17906.45,17912.85,17576.1,17748.6,28/09/2021
His63865831593827869200,,Nifty 50,29-Sep-21,17657.95,17781.75,17608.15,17711.3,29/09/2021
His63865831593827869200,,Nifty 50,30-Sep-21,17718.9,17742.15,17585.35,17618.15,30/09/2021
His63865831593827869200,,Nifty 50,1-Oct-21,17531.9,17557.15,17452.9,17532.05,1/10/2021
His63865831593827869200,,Nifty 50,4-Oct-21,17615.55,17750.9,17581.35,17691.25,4/10/2021
His63865831593827869200,,Nifty 50,5-Oct-21,17661.35,17833.45,17640.9,17822.3,5/10/2021
His63865831593827869200,,Nifty 50,6-Oct-21,17861.5,17884.6,17613.15,17646,6/10/2021
His63865831593827869200,,Nifty 50,7-Oct-21,17810.55,17857.55,17763.8,17790.35,7/10/2021
His63865831593827869200,,Nifty 50,8-Oct-21,17886.85,17941.85,17840.35,17895.2,8/10/2021
His63865831593827869200,,Nifty 50,11-Oct-21,17867.55,18041.95,17839.1,17945.95,11/10/2021
His63865831593827869200,,Nifty 50,12-Oct-21,17915.8,18008.65,17864.95,17991.95,12/10/2021
His63865831593827869200,,Nifty 50,13-Oct-21,18097.85,18197.8,18050.75,18161.75,13/10/2021
His63865831593827869200,,Nifty 50,14-Oct-21,18272.85,18350.75,18248.7,18338.55,14/10/2021
His63865831593827869200,,Nifty 50,18-Oct-21,18500.1,18543.15,18445.3,18477.05,18/10/2021
His63865831593827869200,,Nifty 50,19-Oct-21,18602.35,18604.45,18377.7,18418.75,19/10/2021
His63865831593827869200,,Nifty 50,20-Oct-21,18439.9,18458.3,18209.35,18266.6,20/10/2021
His63865831593827869200,,Nifty 50,21-Oct-21,18382.7,18384.2,18048,18178.1,21/10/2021
His63865831593827869200,,Nifty 50,22-Oct-21,18230.7,18314.25,18034.35,18114.9,22/10/2021
His63865831593827869200,,Nifty 50,25-Oct-21,18229.5,18241.4,17968.5,18125.4,25/10/2021
His63865831593827869200,,Nifty 50,26-Oct-21,18154.5,18310.45,18099.3,18268.4,26/10/2021
His63865831593827869200,,Nifty 50,27-Oct-21,18295.85,18342.05,18167.9,18210.95,27/10/2021
His63865831593827869200,,Nifty 50,28-Oct-21,18187.65,18190.7,17799.45,17857.25,28/10/2021
His63865831593827869200,,Nifty 50,29-Oct-21,17833.05,17915.85,17613.1,17671.65,29/10/2021
His63865831593827869200,,Nifty 50,1-Nov-21,17783.15,17954.1,17697.1,17929.65,1/11/2021
His63865831593827869200,,Nifty 50,2-Nov-21,17970.9,18012.25,17847.6,17888.95,2/11/2021
His63865831593827869200,,Nifty 50,3-Nov-21,17947.95,17988.75,17757.95,17829.2,3/11/2021
His63865831593827869200,,Nifty 50,4-Nov-21,17935.05,17947.55,17900.6,17916.8,4/11/2021
His63865831593827869200,,Nifty 50,8-Nov-21,18040.2,18087.8,17836.1,18068.55,8/11/2021
His63865831593827869200,,Nifty 50,9-Nov-21,18084.35,18112.6,17983.05,18044.25,9/11/2021
His63865831593827869200,,Nifty 50,10-Nov-21,17973.45,18061.25,17915,18017.2,10/11/2021
His63865831593827869200,,Nifty 50,11-Nov-21,17967.45,17971.35,17798.2,17873.6,11/11/2021
His63865831593827869200,,Nifty 50,12-Nov-21,17977.6,18123,17905.9,18102.75,12/11/2021
His63865831593827869200,,Nifty 50,15-Nov-21,18140.95,18210.15,18071.3,18109.45,15/11/2021
His63865831593827869200,,Nifty 50,16-Nov-21,18127.05,18132.65,17958.8,17999.2,16/11/2021
His63865831593827869200,,Nifty 50,17-Nov-21,17939.35,18022.65,17879.25,17898.65,17/11/2021
His63865831593827869200,,Nifty 50,18-Nov-21,17890.55,17945.6,17688.5,17764.8,18/11/2021
His63865831593827869200,,Nifty 50,22-Nov-21,17796.25,17805.25,17280.45,17416.55,22/11/2021
His63865831593827869200,,Nifty 50,23-Nov-21,17281.75,17553.7,17216.1,17503.35,23/11/2021
His63865831593827869200,,Nifty 50,24-Nov-21,17550.05,17600.6,17354,17415.05,24/11/2021
His63865831593827869200,,Nifty 50,25-Nov-21,17417.3,17564.35,17351.7,17536.25,25/11/2021
His63865831593827869200,,Nifty 50,26-Nov-21,17338.75,17355.4,16985.7,17026.45,26/11/2021
His63865831593827869200,,Nifty 50,29-Nov-21,17055.8,17160.7,16782.4,17053.95,29/11/2021
His63865831593827869200,,Nifty 50,30-Nov-21,17051.15,17324.65,16931.4,16983.2,30/11/2021
His63865831593827869200,,Nifty 50,1-Dec-21,17104.4,17213.05,17064.25,17166.9,1/12/2021
His63865831593827869200,,Nifty 50,2-Dec-21,17183.2,17420.35,17149.3,17401.65,2/12/2021
His63865831593827869200,,Nifty 50,3-Dec-21,17424.9,17489.8,17180.8,17196.7,3/12/2021
His63865831593827869200,,Nifty 50,6-Dec-21,17209.05,17216.75,16891.7,16912.25,6/12/2021
His63865831593827869200,,Nifty 50,7-Dec-21,17044.1,17251.65,16987.75,17176.7,7/12/2021
His63865831593827869200,,Nifty 50,8-Dec-21,17315.25,17484.6,17308.95,17469.75,8/12/2021
His63865831593827869200,,Nifty 50,9-Dec-21,17524.4,17543.25,17379.6,17516.85,9/12/2021
